NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
875335,[-1],BAJA
889101,[-1],BAJA
901451,[-1],NA
853915,[-1],NA
860423,[-1],NA
917834,[-1],BAJA
926255,[-1],NA
901274,[-1],NA
917563,[-1],NA
877104,[-1],NA
885779,[-1],NA
886304,[-1],NA
928587,[-1],NA
851100,[-1],NA
937270,[-1],BAJA
842670,[-1],NA
823557,[-1],NA
831769,[-1],NA
837062,[-1],NA
839266,[-1],NA
865086,[-1],NA
887142,[-1],NA
897244,[-1],NA
904543,[-1],NA
908572,[-1],NA
909976,[-1],NA
920006,[-1],NA
828809,[-1],NA
837279,[-1],NA
842747,[-1],NA
846571,[-1],BAJA
825090,[-1],NA
818374,[-1],NA
921503,[-1],NA
929527,[-1],NA
815794,[-1],BAJA
847225,[-1],BAJA
912895,[-1],BAJA
832119,[-1],NA
904365,[-1],NA
854970,[-1],NA
865576,[-1],NA
854147,[-1],NA
872884,[-1],BAJA
912460,[-1],BAJA
928988,[-1],BAJA
869174,[-1],NA
902255,[-1],NA
825777,[-1],NA
831968,[-1],NA
837366,[-1],NA
856738,[-1],NA
851811,[-1],BAJA
856276,[-1],NA
829548,[-1],BAJA
856692,[-1],NA
888326,[-1],NA
905255,[-1],BAJA
865665,[-1],NA
884663,[-1],BAJA
847794,[-1],NA
826630,[-1],BAJA
855075,[-1],NA
849229,[-1],BAJA
886316,[-1],NA
891604,[-1],NA
848621,[-1],NA
895378,[-1],NA
879105,[-1],NA
823791,[-1],BAJA
849686,[-1],NA
924334,[-1],BAJA
806960,[-1],NA
814589,[-1],BAJA
822176,[-1],BAJA
816774,[-1],BAJA
834409,[-1],BAJA
912781,[-1],NA
922699,[-1],NA
935855,[-1],NA
820458,[-1],NA
829265,[-1],NA
841064,[-1],NA
932477,[-1],NA
836380,[-1],NA
924876,[-1],NA
817244,[-1],NA
837808,[-1],NA
856735,[-1],NA
824649,[-1],NA
918331,[-1],NA
834364,[-1],BAJA
933239,[-1],NA
838013,[-1],NA
864583,[-1],NA
909137,[-1],NA
920924,[-1],NA
829553,[-1],NA
906715,[-1],NA
912791,[-1],NA
826142,[-1],NA
920489,[-1],BAJA
881490,[-1],NA
934983,[-1],BAJA
861220,[-1],NA
912605,[-1],BAJA
892539,[-1],NA
825077,[-1],NA
915430,[-1],NA
829687,[-1],NA
889747,[-1],BAJA
807843,[-1],NA
821859,[-1],NA
852528,[-1],BAJA
865868,[-1],NA
875448,[-1],NA
815038,[-1],NA
841473,[-1],NA
847622,[-1],NA
883590,[-1],NA
856025,[-1],NA
912898,[-1],NA
854979,[-1],NA
877285,[-1],BAJA
931357,[-1],BAJA
902528,[-1],BAJA
819869,[-1],NA
824269,[-1],NA
840671,[-1],NA
844753,[-1],NA
865478,[-1],NA
866762,[-1],BAJA
879754,[-1],NA
933718,[-1],NA
823950,[-1],BAJA
877160,[-1],BAJA
905863,[-1],NA
924701,[-1],NA
905555,[-1],NA
922490,[-1],NA
919042,[-1],NA
897190,[-1],BAJA
810436,[-1],BAJA
815917,[-1],NA
915210,[-1],NA
881718,[-1],BAJA
