CONFIGURACION,MODELO,RESULTADO_AC,RESULTADO_SENS,RESULTADO_F1,RESULTADO_ACC,CONFIGURACION_MODELO
0,SVM,0.8770053475935828,1.0,0.9283489096573209,0.8748663101604278,"OneClassSVM(gamma=0.1, nu=0.05)"
0,IF,0.5828877005347594,1.0,0.706766917293233,0.5529411764705883,IsolationForest(n_estimators=10)
0,RF,0.9625668449197861,0.5333333333333333,0.9800569800569799,0.9540106951871656,"RandomForestClassifier(max_depth=500, oob_score=True, random_state=1990)"
1,SVM,0.6631016042780749,1.0,0.7758007117437723,0.6705882352941175,"OneClassSVM(gamma=0.9, nu=0.1)"
1,IF,0.5828877005347594,1.0,0.706766917293233,0.5647058823529412,IsolationForest()
1,RF,0.9625668449197861,0.5333333333333333,0.9800569800569799,0.9540106951871656,"RandomForestClassifier(max_depth=100, n_estimators=1000, oob_score=True,
                       random_state=1990)"
2,SVM,0.4919786096256685,1.0,0.6184738955823293,0.48128342245989303,OneClassSVM(gamma=0.5)
2,IF,0.5935828877005348,1.0,0.7164179104477612,0.5604278074866311,IsolationForest(n_estimators=500)
2,RF,0.9625668449197861,0.5333333333333333,0.9800569800569799,0.9540106951871656,"RandomForestClassifier(max_depth=50, n_estimators=5000, oob_score=True,
                       random_state=1990)"
