NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
932468,[-1],MEDIA
848481,[-1],ALTA
896815,[-1],ALTA
848453,[-1],ALTA
925154,[-1],MEDIA
866886,[-1],ALTA
928965,[-1],ALTA
901873,[-1],ALTA
916904,[-1],ALTA
861347,[-1],ALTA
815887,[-1],MEDIA
920658,[-1],MEDIA
841386,[-1],ALTA
833398,[-1],MEDIA
851376,[-1],MEDIA
809428,[-1],MEDIA
844976,[-1],ALTA
828801,[-1],MEDIA
916957,[-1],ALTA
865390,[-1],MEDIA
937372,[-1],MEDIA
885903,[-1],MEDIA
912519,[-1],MEDIA
824294,[-1],MEDIA
861375,[-1],ALTA
849901,[-1],ALTA
847526,[-1],MEDIA
844197,[-1],MEDIA
937620,[-1],MEDIA
925018,[-1],MEDIA
851453,[-1],ALTA
866777,[-1],MEDIA
925122,[-1],MEDIA
829717,[-1],MEDIA
886744,[-1],MEDIA
932086,[-1],MEDIA
928521,[-1],MEDIA
815570,[-1],MEDIA
816484,[-1],MEDIA
924973,[-1],MEDIA
821308,[-1],MEDIA
847491,[-1],MEDIA
880365,[-1],ALTA
895983,[-1],MEDIA
847614,[-1],MEDIA
920504,[-1],MEDIA
847681,[-1],MEDIA
836511,[-1],MEDIA
891527,[-1],MEDIA
862768,[-1],MEDIA
920657,[-1],MEDIA
830645,[-1],ALTA
914128,[-1],ALTA
882070,[-1],ALTA
937670,[-1],MEDIA
875710,[-1],MEDIA
840614,[-1],MEDIA
900429,[-1],MEDIA
869915,[-1],ALTA
837682,[-1],ALTA
853001,[-1],ALTA
879591,[-1],MEDIA
861870,[-1],MEDIA
837038,[-1],MEDIA
855639,[-1],MEDIA
856462,[-1],MEDIA
880387,[-1],MEDIA
935628,[-1],MEDIA
920527,[-1],MEDIA
901880,[-1],ALTA
829222,[-1],ALTA
901696,[-1],ALTA
924230,[-1],MEDIA
820336,[-1],MEDIA
864120,[-1],MEDIA
852644,[-1],MEDIA
844980,[-1],ALTA
852041,[-1],MEDIA
826260,[-1],MEDIA
928228,[-1],MEDIA
913374,[-1],ALTA
920768,[-1],MEDIA
809778,[-1],MEDIA
874031,[-1],MEDIA
848446,[-1],ALTA
916459,[-1],MEDIA
859867,[-1],MEDIA
879501,[-1],MEDIA
851158,[-1],MEDIA
862687,[-1],MEDIA
829453,[-1],MEDIA
886738,[-1],ALTA
841336,[-1],ALTA
852893,[-1],ALTA
834621,[-1],ALTA
874417,[-1],MEDIA
920661,[-1],MEDIA
840521,[-1],MEDIA
920681,[-1],MEDIA
901694,[-1],ALTA
891107,[-1],MEDIA
904605,[-1],ALTA
920763,[-1],MEDIA
925099,[-1],MEDIA
845085,[-1],ALTA
850865,[-1],MEDIA
808994,[-1],MEDIA
813147,[-1],MEDIA
851909,[-1],MEDIA
824072,[-1],MEDIA
907704,[-1],MEDIA
868948,[-1],ALTA
887942,[-1],ALTA
886912,[-1],ALTA
881701,[-1],ALTA
881764,[-1],ALTA
832237,[-1],MEDIA
856575,[-1],MEDIA
860911,[-1],MEDIA
879583,[-1],MEDIA
837961,[-1],ALTA
915661,[-1],MEDIA
891854,[-1],MEDIA
902792,[-1],MEDIA
877898,[-1],MEDIA
857768,[-1],MEDIA
859868,[-1],MEDIA
824258,[-1],MEDIA
920722,[-1],MEDIA
837144,[-1],MEDIA
901434,[-1],MEDIA
927974,[-1],ALTA
897166,[-1],MEDIA
874258,[-1],MEDIA
920750,[-1],MEDIA
927871,[-1],MEDIA
859896,[-1],MEDIA
866631,[-1],MEDIA
873957,[-1],MEDIA
873284,[-1],MEDIA
913992,[-1],ALTA
852992,[-1],ALTA
823947,[-1],ALTA
891703,[-1],MEDIA
914030,[-1],ALTA
815528,[-1],MEDIA
874449,[-1],ALTA
937071,[-1],MEDIA
908581,[-1],MEDIA
878912,[-1],MEDIA
923632,[-1],MEDIA
873526,[-1],MEDIA
901036,[-1],MEDIA
907796,[-1],MEDIA
901368,[-1],MEDIA
935211,[-1],MEDIA
935841,[-1],MEDIA
887979,[-1],ALTA
930364,[-1],MEDIA
914057,[-1],ALTA
887355,[-1],MEDIA
848440,[-1],ALTA
833390,[-1],MEDIA
896908,[-1],MEDIA
909064,[-1],ALTA
896426,[-1],MEDIA
885704,[-1],MEDIA
886727,[-1],ALTA
836343,[-1],MEDIA
886733,[-1],ALTA
919630,[-1],ALTA
862944,[-1],ALTA
868443,[-1],ALTA
855885,[-1],MEDIA
865465,[-1],MEDIA
834292,[-1],ALTA
866371,[-1],ALTA
861748,[-1],ALTA
872230,[-1],MEDIA
861370,[-1],ALTA
937501,[-1],MEDIA
832840,[-1],MEDIA
881178,[-1],MEDIA
928545,[-1],MEDIA
855078,[-1],MEDIA
914003,[-1],ALTA
873935,[-1],MEDIA
856553,[-1],MEDIA
925753,[-1],MEDIA
825375,[-1],MEDIA
896696,[-1],MEDIA
891322,[-1],MEDIA
824300,[-1],MEDIA
916945,[-1],ALTA
915482,[-1],ALTA
813531,[-1],MEDIA
846699,[-1],MEDIA
895975,[-1],MEDIA
824850,[-1],MEDIA
821456,[-1],MEDIA
840252,[-1],MEDIA
852883,[-1],ALTA
928505,[-1],MEDIA
858726,[-1],MEDIA
821977,[-1],ALTA
844983,[-1],ALTA
904941,[-1],MEDIA
845007,[-1],ALTA
861963,[-1],ALTA
937883,[-1],MEDIA
834296,[-1],ALTA
858365,[-1],MEDIA
829517,[-1],MEDIA
846702,[-1],MEDIA
931445,[-1],MEDIA
866389,[-1],ALTA
847887,[-1],MEDIA
905091,[-1],MEDIA
891657,[-1],MEDIA
819645,[-1],MEDIA
881697,[-1],ALTA
928958,[-1],MEDIA
905179,[-1],MEDIA
835622,[-1],ALTA
916376,[-1],MEDIA
917859,[-1],ALTA
932675,[-1],MEDIA
886462,[-1],MEDIA
872338,[-1],MEDIA
852903,[-1],ALTA
880933,[-1],MEDIA
844954,[-1],ALTA
844958,[-1],ALTA
856607,[-1],MEDIA
847552,[-1],MEDIA
853005,[-1],ALTA
859838,[-1],MEDIA
829685,[-1],MEDIA
924670,[-1],MEDIA
922171,[-1],MEDIA
920507,[-1],MEDIA
905348,[-1],MEDIA
824174,[-1],MEDIA
870020,[-1],MEDIA
891195,[-1],MEDIA
908482,[-1],MEDIA
914874,[-1],MEDIA
893511,[-1],ALTA
833200,[-1],MEDIA
901429,[-1],MEDIA
905805,[-1],MEDIA
837966,[-1],ALTA
815702,[-1],MEDIA
901193,[-1],MEDIA
881238,[-1],MEDIA
866357,[-1],ALTA
866143,[-1],MEDIA
935860,[-1],MEDIA
865185,[-1],MEDIA
859866,[-1],MEDIA
886907,[-1],ALTA
