CONFIGURACION,MODELO,RESULTADO_AC,RESULTADO_SENS,RESULTADO_F1,RESULTADO_ACC,CONFIGURACION_MODELO
0,SVM,0.8693181818181818,0.5,0.9292307692307693,0.8363636363636363,"OneClassSVM(gamma=0.1, nu=0.05)"
1,SVM,0.4034090909090909,0.25,0.5714285714285714,0.509090909090909,"OneClassSVM(gamma=0.1, kernel='linear', nu=0.05)"
2,SVM,0.5397727272727273,0.25,0.6988847583643122,0.4738636363636364,"OneClassSVM(gamma=0.1, kernel='poly', nu=0.05)"
3,SVM,0.9090909090909091,0.25,0.9520958083832335,0.9090909090909091,"OneClassSVM(gamma=0.1, kernel='sigmoid', nu=0.05)"
