NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
829623,[-1],MEDIA
896815,[-1],ALTA
815887,[-1],MEDIA
920658,[-1],MEDIA
809428,[-1],MEDIA
896031,[-1],MEDIA
879656,[-1],MEDIA
824294,[-1],MEDIA
847526,[-1],MEDIA
844197,[-1],MEDIA
851453,[-1],ALTA
881165,[-1],ALTA
823181,[-1],MEDIA
843755,[-1],MEDIA
924973,[-1],MEDIA
920504,[-1],MEDIA
891527,[-1],MEDIA
862768,[-1],MEDIA
829200,[-1],MEDIA
937670,[-1],MEDIA
875710,[-1],MEDIA
840614,[-1],MEDIA
908655,[-1],MEDIA
869915,[-1],ALTA
879591,[-1],MEDIA
852505,[-1],ALTA
900098,[-1],MEDIA
935628,[-1],MEDIA
924230,[-1],MEDIA
920321,[-1],MEDIA
920316,[-1],MEDIA
851686,[-1],MEDIA
852644,[-1],MEDIA
839798,[-1],MEDIA
913374,[-1],ALTA
937948,[-1],MEDIA
908166,[-1],MEDIA
920100,[-1],MEDIA
859248,[-1],MEDIA
916459,[-1],MEDIA
859867,[-1],MEDIA
890898,[-1],MEDIA
829453,[-1],MEDIA
886738,[-1],ALTA
855076,[-1],MEDIA
920681,[-1],MEDIA
904605,[-1],ALTA
920763,[-1],MEDIA
911677,[-1],MEDIA
925099,[-1],MEDIA
810589,[-1],MEDIA
854651,[-1],MEDIA
809637,[-1],MEDIA
808994,[-1],MEDIA
933007,[-1],MEDIA
907704,[-1],MEDIA
868948,[-1],ALTA
912408,[-1],MEDIA
820663,[-1],MEDIA
905346,[-1],MEDIA
923672,[-1],MEDIA
903389,[-1],MEDIA
891854,[-1],MEDIA
859868,[-1],MEDIA
824258,[-1],MEDIA
920722,[-1],MEDIA
880238,[-1],MEDIA
900453,[-1],MEDIA
927974,[-1],ALTA
874258,[-1],MEDIA
920692,[-1],MEDIA
883734,[-1],MEDIA
864478,[-1],MEDIA
833787,[-1],ALTA
873284,[-1],MEDIA
823947,[-1],ALTA
920939,[-1],MEDIA
815528,[-1],MEDIA
885342,[-1],MEDIA
923632,[-1],MEDIA
850963,[-1],MEDIA
873526,[-1],MEDIA
901036,[-1],MEDIA
836005,[-1],MEDIA
912411,[-1],MEDIA
856020,[-1],MEDIA
822199,[-1],MEDIA
912323,[-1],MEDIA
886727,[-1],ALTA
886733,[-1],ALTA
862944,[-1],ALTA
904527,[-1],MEDIA
912560,[-1],MEDIA
923829,[-1],MEDIA
881178,[-1],MEDIA
836793,[-1],MEDIA
864310,[-1],MEDIA
896705,[-1],MEDIA
870897,[-1],MEDIA
855749,[-1],MEDIA
825375,[-1],MEDIA
896696,[-1],MEDIA
891322,[-1],MEDIA
815861,[-1],MEDIA
840654,[-1],MEDIA
932243,[-1],MEDIA
878198,[-1],MEDIA
928505,[-1],MEDIA
904941,[-1],MEDIA
855598,[-1],MEDIA
829517,[-1],MEDIA
931445,[-1],MEDIA
847887,[-1],MEDIA
856521,[-1],MEDIA
924924,[-1],MEDIA
819645,[-1],MEDIA
903561,[-1],MEDIA
835622,[-1],ALTA
897184,[-1],ALTA
932675,[-1],MEDIA
919808,[-1],MEDIA
915626,[-1],MEDIA
859838,[-1],MEDIA
871254,[-1],MEDIA
869761,[-1],ALTA
922171,[-1],MEDIA
920507,[-1],MEDIA
812778,[-1],MEDIA
842879,[-1],MEDIA
905348,[-1],MEDIA
884877,[-1],MEDIA
914874,[-1],MEDIA
843565,[-1],MEDIA
859273,[-1],MEDIA
859897,[-1],MEDIA
891160,[-1],MEDIA
935860,[-1],MEDIA
908206,[-1],ALTA
919432,[-1],MEDIA
856024,[-1],MEDIA
844120,[-1],MEDIA
879253,[-1],MEDIA
889738,[-1],MEDIA
890423,[-1],MEDIA
938004,[-1],MEDIA
857567,[-1],ALTA
856391,[-1],MEDIA
814663,[-1],MEDIA
902793,[-1],MEDIA
828608,[-1],MEDIA
931485,[-1],MEDIA
848429,[-1],MEDIA
908713,[-1],MEDIA
823732,[-1],MEDIA
851425,[-1],ALTA
829314,[-1],ALTA
839534,[-1],MEDIA
915989,[-1],MEDIA
809586,[-1],MEDIA
840696,[-1],MEDIA
904429,[-1],MEDIA
823963,[-1],MEDIA
874425,[-1],MEDIA
815729,[-1],ALTA
840792,[-1],MEDIA
909029,[-1],MEDIA
839228,[-1],MEDIA
840763,[-1],MEDIA
813375,[-1],MEDIA
851790,[-1],MEDIA
903505,[-1],MEDIA
886729,[-1],ALTA
855169,[-1],MEDIA
847422,[-1],MEDIA
828007,[-1],MEDIA
885727,[-1],MEDIA
810454,[-1],ALTA
890504,[-1],MEDIA
891071,[-1],MEDIA
856379,[-1],MEDIA
810456,[-1],ALTA
832757,[-1],ALTA
934330,[-1],MEDIA
896045,[-1],MEDIA
927351,[-1],MEDIA
809022,[-1],MEDIA
896950,[-1],MEDIA
829136,[-1],MEDIA
896456,[-1],MEDIA
935289,[-1],MEDIA
904769,[-1],MEDIA
825293,[-1],MEDIA
872475,[-1],MEDIA
928027,[-1],MEDIA
881113,[-1],ALTA
874114,[-1],MEDIA
809620,[-1],MEDIA
894570,[-1],MEDIA
863019,[-1],ALTA
843480,[-1],MEDIA
870118,[-1],MEDIA
870875,[-1],MEDIA
833281,[-1],MEDIA
897180,[-1],MEDIA
920833,[-1],MEDIA
926997,[-1],MEDIA
877848,[-1],MEDIA
809977,[-1],MEDIA
824744,[-1],MEDIA
914482,[-1],MEDIA
821825,[-1],ALTA
815586,[-1],MEDIA
924072,[-1],MEDIA
885900,[-1],MEDIA
859601,[-1],MEDIA
828756,[-1],MEDIA
896368,[-1],MEDIA
932145,[-1],MEDIA
