NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
901451,[-1],NA
905484,[-1],BAJA
929218,[-1],BAJA
886848,[-1],NA
813330,[-1],BAJA
846567,[-1],NA
932102,[-1],NA
826651,[-1],NA
917834,[-1],BAJA
885285,[-1],NA
853481,[-1],NA
829706,[-1],BAJA
897234,[-1],BAJA
929047,[-1],NA
833648,[-1],NA
852403,[-1],BAJA
874963,[-1],NA
928587,[-1],NA
932702,[-1],NA
851100,[-1],NA
907070,[-1],NA
823615,[-1],BAJA
894696,[-1],BAJA
814137,[-1],NA
837062,[-1],NA
847163,[-1],NA
865086,[-1],NA
884857,[-1],NA
887142,[-1],NA
897244,[-1],NA
901431,[-1],NA
920273,[-1],BAJA
932782,[-1],NA
932825,[-1],BAJA
834399,[-1],BAJA
807561,[-1],BAJA
805004,[-1],NA
815278,[-1],BAJA
837279,[-1],NA
842747,[-1],NA
811880,[-1],NA
890575,[-1],NA
895594,[-1],NA
929902,[-1],BAJA
836749,[-1],BAJA
818374,[-1],NA
904945,[-1],NA
931366,[-1],NA
908961,[-1],NA
929527,[-1],NA
815794,[-1],BAJA
847225,[-1],BAJA
912895,[-1],BAJA
859998,[-1],BAJA
874578,[-1],NA
904365,[-1],NA
865106,[-1],BAJA
876988,[-1],BAJA
866269,[-1],NA
909440,[-1],NA
854147,[-1],NA
805513,[-1],NA
928448,[-1],NA
895459,[-1],NA
905667,[-1],BAJA
872884,[-1],BAJA
848383,[-1],BAJA
917799,[-1],BAJA
918806,[-1],BAJA
902195,[-1],NA
918416,[-1],NA
835638,[-1],BAJA
843722,[-1],BAJA
921393,[-1],BAJA
874450,[-1],BAJA
928988,[-1],BAJA
924998,[-1],NA
932213,[-1],NA
825777,[-1],NA
838099,[-1],BAJA
837366,[-1],NA
901395,[-1],BAJA
811803,[-1],NA
902529,[-1],NA
811345,[-1],BAJA
856738,[-1],NA
805761,[-1],NA
851811,[-1],BAJA
889860,[-1],BAJA
856276,[-1],NA
853666,[-1],BAJA
834343,[-1],NA
843692,[-1],NA
848049,[-1],NA
926170,[-1],NA
831210,[-1],NA
901220,[-1],NA
887000,[-1],NA
896336,[-1],BAJA
905539,[-1],NA
900554,[-1],NA
826630,[-1],BAJA
837363,[-1],NA
913943,[-1],BAJA
821299,[-1],NA
864636,[-1],BAJA
895635,[-1],BAJA
812123,[-1],NA
824778,[-1],NA
835304,[-1],NA
904674,[-1],NA
936638,[-1],NA
915915,[-1],NA
844974,[-1],NA
811942,[-1],NA
856373,[-1],BAJA
820561,[-1],NA
908328,[-1],NA
844219,[-1],NA
841004,[-1],BAJA
828119,[-1],BAJA
924499,[-1],BAJA
891604,[-1],NA
848621,[-1],NA
879105,[-1],NA
810764,[-1],NA
815964,[-1],NA
924334,[-1],BAJA
822176,[-1],BAJA
860125,[-1],NA
818936,[-1],BAJA
816774,[-1],BAJA
804915,[-1],NA
876003,[-1],BAJA
905835,[-1],NA
819037,[-1],BAJA
834409,[-1],BAJA
811417,[-1],NA
890505,[-1],NA
852595,[-1],NA
869343,[-1],BAJA
912781,[-1],NA
833234,[-1],BAJA
913088,[-1],NA
874528,[-1],NA
876157,[-1],NA
903957,[-1],NA
932495,[-1],NA
820458,[-1],NA
847406,[-1],NA
901777,[-1],NA
856574,[-1],BAJA
928627,[-1],NA
912266,[-1],BAJA
852163,[-1],NA
841506,[-1],NA
924876,[-1],NA
911946,[-1],NA
856735,[-1],NA
859836,[-1],NA
824649,[-1],NA
930286,[-1],NA
834364,[-1],BAJA
833516,[-1],NA
864583,[-1],NA
909137,[-1],NA
906715,[-1],NA
912791,[-1],NA
847091,[-1],NA
884711,[-1],NA
901717,[-1],NA
928910,[-1],BAJA
913070,[-1],NA
852336,[-1],BAJA
865691,[-1],NA
850792,[-1],NA
916398,[-1],NA
892539,[-1],NA
824725,[-1],BAJA
829091,[-1],NA
851754,[-1],NA
874576,[-1],NA
880260,[-1],NA
915430,[-1],NA
818139,[-1],BAJA
889747,[-1],BAJA
821859,[-1],NA
824252,[-1],NA
844825,[-1],NA
847979,[-1],BAJA
855759,[-1],NA
865868,[-1],NA
875448,[-1],NA
817289,[-1],BAJA
859883,[-1],NA
875198,[-1],BAJA
905401,[-1],BAJA
917803,[-1],BAJA
920956,[-1],BAJA
810836,[-1],NA
844226,[-1],NA
918415,[-1],NA
925123,[-1],NA
850939,[-1],NA
931357,[-1],BAJA
815141,[-1],BAJA
812551,[-1],BAJA
919565,[-1],BAJA
820827,[-1],NA
824321,[-1],NA
825062,[-1],NA
831768,[-1],NA
837314,[-1],NA
837521,[-1],BAJA
844753,[-1],NA
865478,[-1],NA
933718,[-1],NA
920468,[-1],NA
916540,[-1],BAJA
877160,[-1],BAJA
847310,[-1],NA
848430,[-1],BAJA
865831,[-1],NA
905863,[-1],NA
912704,[-1],NA
830010,[-1],NA
905555,[-1],NA
848585,[-1],NA
847908,[-1],NA
923733,[-1],NA
927625,[-1],BAJA
921301,[-1],NA
920104,[-1],BAJA
891037,[-1],NA
816052,[-1],NA
833332,[-1],NA
881718,[-1],BAJA
851138,[-1],BAJA
866598,[-1],NA
876581,[-1],BAJA
883365,[-1],BAJA
885312,[-1],NA
890707,[-1],NA
886519,[-1],NA
900327,[-1],NA
926537,[-1],NA
891874,[-1],NA
926112,[-1],NA
926197,[-1],NA
872485,[-1],BAJA
921114,[-1],BAJA
853969,[-1],BAJA
837455,[-1],NA
851839,[-1],BAJA
874432,[-1],NA
895478,[-1],NA
917045,[-1],NA
810618,[-1],NA
907594,[-1],BAJA
874569,[-1],NA
815330,[-1],BAJA
916543,[-1],NA
929232,[-1],BAJA
932668,[-1],NA
935302,[-1],BAJA
906302,[-1],NA
920500,[-1],NA
894020,[-1],BAJA
824267,[-1],BAJA
844264,[-1],NA
848056,[-1],BAJA
878826,[-1],NA
918136,[-1],NA
920983,[-1],NA
908709,[-1],NA
902161,[-1],NA
886370,[-1],BAJA
854589,[-1],BAJA
879806,[-1],NA
917668,[-1],BAJA
805514,[-1],NA
913450,[-1],NA
836280,[-1],NA
811220,[-1],NA
905833,[-1],NA
898721,[-1],NA
918924,[-1],NA
919964,[-1],NA
886200,[-1],BAJA
