CONFIGURACION,MODELO,RESULTADO_AC,RESULTADO_SENS,RESULTADO_F1,RESULTADO_ACC,CONFIGURACION_MODELO
2,SVM,0.4489,1.0000,0.6073,0.4375,OneClassSVM(gamma=0.5)
0,IF,0.5795,1.0000,0.7259,0.5716,IsolationForest(n_estimators=10)
2,IF,0.6023,1.0000,0.7445,0.5909,IsolationForest(n_estimators=500)
1,IF,0.6250,1.0000,0.7626,0.5898,IsolationForest()
1,SVM,0.6364,1.0000,0.7714,0.5898,"OneClassSVM(gamma=0.9, nu=0.1)"
0,SVM,0.8693,0.5000,0.9292,0.8364,"OneClassSVM(gamma=0.1, nu=0.05)"
0,RF,0.9943,0.7500,0.9971,0.9920,"RandomForestClassifier(max_depth=500, oob_score=True, random_state=1990)"
1,RF,0.9943,0.7500,0.9971,0.9920,"RandomForestClassifier(max_depth=100, n_estimators=1000, oob_score=True,
                       random_state=1990)"
2,RF,0.9943,0.7500,0.9971,0.9920,"RandomForestClassifier(max_depth=50, n_estimators=5000, oob_score=True,
                       random_state=1990)"
