NUM_AUTORIZACION_TC,MON_MOVIMIENTO_QUETZALIZADO,FEC_AUTORIZACION,TIP_NEGOCIO,PAIS_ORIGEN,COD_MONEDA_ORIGEN,COD_PROD_EMISOR,NUM_CTA_DEB,COD_CLIENTE,IND_ANOMALA,IND_ESTADO_INACTIVA,PORC_RETIRO,CNT_CUENTAS_DISTINTAS,IND_DEBAJO_UMBRAL_15K,IND_SUP_15K,CNT_RETIRO_CUENTA,CNT_CAJEROS_DISTINTOS
695383,500.0,2005-10-08 13:37:00,3057,37,29,4,26720,37007,1,0,0.43,1,0,0,1,1
717879,500.0,2005-10-14 16:49:00,2721,37,29,2,32605,34859,1,0,0.26,1,0,0,1,1
71144,1000.0,2005-05-18 14:57:00,319,37,29,4,23658,21845,1,0,0.23,1,0,0,1,1
123283,300.0,2005-06-01 15:30:00,1943,37,29,10,41181,17392,1,0,0.16,1,0,0,2,1
7293,100.0,2005-05-02 15:52:00,3452,37,29,4,38229,36655,1,0,0.19,1,0,0,1,1
490236,100.0,2005-08-24 06:00:00,3988,37,29,4,38229,36655,1,0,0.08,1,0,0,1,1
139933,100.0,2005-06-05 12:45:00,3452,37,29,4,38229,36655,1,0,0.33,1,0,0,1,1
602974,100.0,2005-09-17 18:05:00,422,37,29,10,41181,17392,1,0,0.09,1,0,0,1,1
625319,100.0,2005-09-23 17:56:00,2892,37,29,2,1106,24676,1,0,0.73,1,0,0,1,1
869997,1000.0,2005-11-15 16:34:00,1943,37,29,10,41181,17392,1,0,0.72,1,0,0,2,1
103989,300.0,2005-05-28 13:25:00,3911,37,29,5,41042,36350,1,0,0.0,1,0,0,2,2
205870,400.0,2005-06-22 17:25:00,1761,37,29,2,11197,29546,1,0,0.32,1,0,0,1,1
351509,100.0,2005-07-23 18:59:00,2696,37,29,4,21363,23997,1,0,1.54,1,0,0,1,1
611261,100.0,2005-09-19 18:39:00,2724,37,29,4,26720,37007,1,0,0.21,1,0,0,1,1
610685,500.0,2005-09-19 17:04:00,1943,37,29,10,41181,17392,1,0,0.49,1,0,0,2,2
755012,100.0,2005-10-21 13:01:00,1649,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
322917,300.0,2005-07-17 13:42:00,16,37,29,2,32605,34859,1,0,0.04,1,0,0,2,1
188013,100.0,2005-06-17 17:07:00,1943,37,29,10,41181,17392,1,0,0.14,1,0,0,1,1
701271,200.0,2005-10-10 12:46:00,2924,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
135495,100.0,2005-06-04 11:25:00,3452,37,29,4,38229,36655,1,0,0.25,1,0,0,1,1
640664,200.0,2005-09-27 19:04:00,3686,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
535449,400.0,2005-09-03 09:08:00,2724,37,29,4,26720,37007,1,0,0.33,1,0,0,1,1
854959,200.0,2005-11-12 14:56:00,2724,37,29,4,26720,37007,1,0,0.08,1,0,0,2,1
83817,100.0,2005-05-21 23:01:00,422,37,29,10,41181,17392,1,0,0.14,1,0,0,1,1
637577,100.0,2005-09-26 19:18:00,2724,37,29,4,26720,37007,1,0,0.02,1,0,0,2,1
788791,200.0,2005-10-29 12:26:00,1676,37,29,4,23658,21845,1,0,0.18,1,0,0,1,1
851515,500.0,2005-11-11 19:13:00,51,37,29,4,23658,21845,1,0,0.43,1,0,0,3,2
737101,800.0,2005-10-17 11:04:00,2847,37,29,10,40684,35477,1,0,0.02,1,0,0,1,1
